Feature,Median Difference,Rank
X350.117_2.379_3436,15915273.865,6.0
X368.127_2.057_3524,22140728.814999998,3.0
X175.001_0.32_3381,-97684359.69999999,38.0
X207.014_0.245_2349,-6095878.379999999,25.0
X284.098_0.413_2419,63463591.27,1.0
X302.207_2.288_4991,20503913.384999998,4.0
X200.068_0.252_2297,-8648371.77,27.0
X159.027_0.32_1836,-54721814.94,36.0
X635.139_0.367_9679,-9314124.015,29.0
X160.133_0.288_2231,-128561549.55000004,39.0
X192.014_0.255_4104,-4646841.66,21.0
X261.144_1.393_6362,-156232321.29000002,40.0
X298.127_0.653_5878,-17111330.990000002,32.0
X304.212_2.349_9716,-882025.3815000001,14.0
X247.128_0.56_5308,-12769667.321,31.0
X626.532_4.046_8166,-1707820.16435,16.0
X322.054_0.275_3451,15925460.685500002,5.0
X264.143_0.463_5367,-42070392.74,35.0
X357.277_2.855_4905,-5263481.6839,23.0
X268.139_0.395_4206,-9506298.568,30.0
X285.127_0.267_4161,-493497.51949999994,13.0
X473.237_2.233_4051,-2685541.1289,19.0
X1087.667_2.886_8284,552896.4327500002,11.0
X246.144_0.647_2608,11820200.608000001,7.0
X203.15_0.27_12123,-9045608.374000002,28.0
X689.47_3.864_9012,-221087.86430000002,12.0
X207.988_0.256_4108,-2344658.3320000004,18.0
X520.507_4.058_1762,-7970033.490000002,26.0
X307.082_0.385_3088,-57712907.80000001,37.0
X428.371_2.985_3385,-22871746.015,33.0
X188.175_0.266_5434,-4785317.093800001,22.0
X291.145_2.393_473,-5936183.308500001,24.0
X354.262_2.849_3643,4012844.9469000003,10.0
X222.988_0.243_3429,-1756494.2530000005,17.0
X415.192_0.3_9853,4168206.90645,9.0
X417.118_2.276_5286,4282759.105,8.0
X705.487_3.468_8122,-891220.0814999997,15.0
X565.793_2.337_3414,-3807199.5544999996,20.0
X527.157_0.276_2308,30907720.769999996,2.0
X613.157_0.381_3350,-25728676.25,34.0
